iso_country_numeric_code,iso_country_code,country,world_region,mpi,headcount_ratio,intensity,vulnerable_to_poverty,in_severe_povertty,inequality_among_the_poor,population_as_per_survey_in_given_year,population_2016,population_2017,number_of_mpi_poor_in_given_year,number_of_mpi_poor_in_2016,number_of_mpi_poor_in_2017
384,CIV,Côte d'Ivoire,Sub-Saharan Africa,0.23587100207805634,46.067485213279724,51.201188564300537,17.572289705276489,24.465472996234894,1.9E-2,23695.919921875,23695.919921875,24294.75,10916.1142578125,10916.1142578125,11191.98046875
887,YEM,Yemen,Arab States,0.24073454737663269,47.698307037353516,50.470250844955444,22.074685990810394,23.885250091552734,2.1000000000000001E-2,25576.322265625,27584.212890625,28250.419921875,12199.47265625,13157.2021484375,13474.9716796875
120,CMR,Cameroon,Sub-Saharan Africa,0.24268993735313416,45.326483249664307,53.542637825012207,17.290203273296356,25.559219717979431,2.5999999999999999E-2,22239.904296875,23439.189453125,24053.7265625,10080.56640625,10624.16015625,10902.7080078125
454,MWI,Malawi,Sub-Saharan Africa,0.24314294755458832,52.621102333068848,46.206355094909668,28.451380133628845,18.476572632789612,1.2999999999999999E-2,18091.57421875,18091.57421875,18622.103515625,9519.9853515625,9519.9853515625,9799.15625
768,TGO,Togo,Sub-Saharan Africa,0.24868223071098328,48.153257369995117,51.643908023834229,21.805073320865631,24.327453970909119,2.3E-2,7228.9150390625,7606.3740234375,7797.69384765625,3480.9580078125,3662.716796875,3754.843505859375
646,RWA,Rwanda,Sub-Saharan Africa,0.25867766141891479,54.424560070037842,47.529581189155579,25.706258416175842,22.205132246017456,1.2999999999999999E-2,11629.552734375,11917.5078125,12208.4072265625,6329.3330078125,6486.05126953125,6644.3720703125
478,MRT,Mauritania,Sub-Saharan Africa,0.26064398884773254,50.566339492797852,51.544958353042603,18.570713698863983,26.28568708896637,1.9E-2,4182.3408203125,4301.01806640625,4420.18408203125,2114.856689453125,2174.867431640625,2235.125244140625
894,ZMB,Zambia,Sub-Saharan Africa,0.26134052872657776,53.243720531463623,49.083819985389709,22.481249272823334,24.182745814323425,1.7000000000000001E-2,15620.9736328125,16591.390625,17094.130859375,8317.1875,8833.8740234375,9101.55078125
800,UGA,Uganda,Sub-Saharan Africa,0.26884636282920837,55.091989040374756,48.799535632133484,24.909539520740509,24.142150580883026,1.7000000000000001E-2,41487.96484375,41487.96484375,42862.95703125,22856.544921875,22856.544921875,23614.0546875
4,AFG,Afghanistan,South Asia,0.2717212438583374,55.910241603851318,48.599550127983093,18.137624859809875,24.861951172351837,0.02,34656.03125,34656.03125,35530.08203125,19376.271484375,19376.271484375,19864.955078125
834,TZA,Tanzania,Sub-Saharan Africa,0.27343153953552246,55.448424816131592,49.312767386436462,24.197521805763245,25.918424129486084,1.6E-2,55572.19921875,55572.19921875,57310.01953125,30813.908203125,30813.908203125,31777.50390625
729,SDN,Sudan,Arab States,0.27943959832191467,52.328044176101685,53.40149998664856,17.660528421401978,30.878278613090515,2.3E-2,37737.9140625,39578.828125,40533.328125,19747.51171875,20710.826171875,21210.296875
24,AGO,Angola,Sub-Saharan Africa,0.28243505954742432,51.104110479354858,55.266600847244263,15.542855858802795,32.45755136013031,2.4E-2,28813.462890625,28813.462890625,29784.193359375,14724.8642578125,14724.8642578125,15220.947265625
270,GMB,Gambia,Sub-Saharan Africa,0.28578442335128784,55.237489938735962,51.737403869628906,21.762777864933014,31.991949677467346,1.7999999999999999E-2,1859.323974609375,2038.5009765625,2100.568115234375,1027.0439453125,1126.0167236328125,1160.3011474609375
686,SEN,Senegal,Sub-Saharan Africa,0.28798049688339233,53.171175718307495,54.161012172698975,16.370362043380737,32.773551344871521,2.1000000000000001E-2,15850.5673828125,15411.6142578125,15850.5673828125,8427.9326171875,8194.5361328125,8427.9326171875
